"tipo_entidad","codigo_entidad","nombreentidad","fecha_corte","unicap","descrip_uc","renglon","desc_renglon","_1_saldo_de_la_cartera_a","_2_vigente","_3_vencida_1_2_meses","_4_vencida_2_3_meses","_5_vencida_1_3_meses","_6_vencida_3_4_meses","_7_vencida_de_4_meses","_8_vencida_3_6_meses","_9_vencida_6_meses","_10_vencida_1_4_meses","_11_vencida_4_6_meses","_12_vencida_6_12_meses","_13_vencida_12_18_meses","_14_vencida_12_meses","_15_vencida_18_meses","_16_n_mero_de_clientes_mora","_17_calificaci_n_de_riesgo","_18_calificaci_n_de_riesgo","_19_calificaci_n_de_riesgo","_20_calificaci_n_de_riesgo","_21_calificaci_n_de_riesgo","_22_calificaci_n_de_riesgo","_23_calificaci_n_de_riesgo","_24_calificaci_n_de_riesgo","_25_calificaci_n_de_riesgo","_26_calificaci_n_de_riesgo"
"1","42","Davibank S.A. O Davibank.","2015-04-30T00:00:00.000","1","CRÉDITO ROTATIVO","5","CRÉDITO ROTATIVO TOTAL","630152827044.8","587755950352.84","20021568073.71","8081032595.73","0","0","0","14246477740.59","47798281.93","0","0","0","0","0","0","3739","62869","568495926196.71","2886","26516524076.12","1800","15488770729.52","2292","19616357684.86","39","35248357.59"
"1","9","Citibank","2015-04-30T00:00:00.000","1","CRÉDITO ROTATIVO","5","CRÉDITO ROTATIVO TOTAL","850009124513.7","804363067799.76","11276813887.11","7987848735.6","0","0","0","15189465537.88","11191928553.35","0","0","0","0","0","0","6205","126340","794274700426.35","2106","13453182265.19","1759","10946005623.34","1771","12254393314.03","2567","19080842884.79"
"1","30","Banco Caja Social","2015-04-30T00:00:00.000","1","CRÉDITO ROTATIVO","5","CRÉDITO ROTATIVO TOTAL","22305697016","19811557563","333698253","154144416","0","0","0","333172899","1673123885","0","0","0","0","0","0","679","8728","19555997284","140","347035565","85","263663533","77","225607847","573","1913392787"
"1","13","Bbva Colombia","2015-04-30T00:00:00.000","1","CRÉDITO ROTATIVO","5","CRÉDITO ROTATIVO TOTAL","312894031166.66","300949637256.86","4762542258.3","1889124646.9","0","0","0","3257384684.99","2035342319.62","0","0","0","0","0","0","1570","31206","293226085590.53","1060","8951152515.17","531","3936015924.11","548","4183349637.45","442","2597427499.41"
"1","12","Banco Gnb Sudameris","2015-04-30T00:00:00.000","1","CRÉDITO ROTATIVO","5","CRÉDITO ROTATIVO TOTAL","35542205705","32906525424","845825968","447559074","0","0","0","929222197","413073042","0","0","0","0","0","0","380","5758","31569687835","239","1400779976","161","1095470234","105","636666092","151","839601568"
"1","62","Mibanco S.A.","2015-04-30T00:00:00.000","1","CRÉDITO ROTATIVO","5","CRÉDITO ROTATIVO TOTAL","2164418739.33","1788735301.87","59944896.24","26597621.96","0","0","0","64792262.16","224348657.1","0","0","0","0","0","0","2127","14411","1771476318.44","715","67582496.52","389","30393363.39","811","68416460.43","2205","226550100.55"
"1","54","Bancoomeva","2015-04-30T00:00:00.000","1","CRÉDITO ROTATIVO","5","CRÉDITO ROTATIVO TOTAL","257356786769","242275076700","4340528237","3441083156","0","0","0","3506513503","3793585173","0","0","0","0","0","0","2083","33262","239584300457","777","4479940937","881","5609819931","503","3376239554","476","4306485890"
"1","7","Bancolombia","2015-04-30T00:00:00.000","1","CRÉDITO ROTATIVO","5","CRÉDITO ROTATIVO TOTAL","638994837725.39","610782619202.23","6498145279.1","3803004581.38","0","0","0","6854997144.16","11056071518.52","0","0","0","0","0","0","4480","70667","588452497561.74","2513","17110188375.12","1393","8124472920.72","1440","9259288161.97","2219","16048390705.84"
"1","49","Av Villas","2015-04-30T00:00:00.000","1","CRÉDITO ROTATIVO","5","CRÉDITO ROTATIVO TOTAL","53907398059","51916173573","753730443","307766113","0","0","0","697671717","232056213","0","0","0","0","0","0","685","10031","50959518041","398","1172598217","197","545479763","332","935244050","116","294557988"
"1","6","Itaú Banco Itaú.","2015-04-30T00:00:00.000","1","CRÉDITO ROTATIVO","5","CRÉDITO ROTATIVO TOTAL","465326279261.97","439875159936.97","8710837834.37","4719551371.38","0","0","0","7172946904.34","4847783214.91","0","0","0","0","0","0","2592","42828","429703876876.04","1415","13282170319.02","951","7484695342.32","965","8700817503.32","657","6154719221.27"
